language,group,counts
Python,Datascience,20
C,Datascience,0
C++,Datascience,1
R,Datascience,10
Bash,Datascience,0
*nix environments,Datascience,0
Perl,Datascience,0
SQL,Datascience,14
Galaxy,Datascience,0
Bioconductor,Datascience,0
Ingenuity Pathways,Datascience,0
SciPy,Datascience,0
Mutect,Datascience,0
Varscan2,Datascience,0
BWA,Datascience,0
GATK,Datascience,0
SAMTools,Datascience,0
Cosmic,Datascience,0
TCGA,Datascience,0
Git,Datascience,1
SGE,Datascience,0
Java,Datascience,3
Novoalign,Datascience,0
Tophat,Datascience,0
Star,Datascience,0
Bowtie,Datascience,0
Bedtools,Datascience,0
IGV,Datascience,0
Samtools,Datascience,0
GDC,Datascience,0
AWS,Datascience,6
MySQL,Datascience,0
Postgres,Datascience,0
Bowtie2,Datascience,0
Cellranger,Datascience,0
UCSC genome browser,Datascience,0
HTML,Datascience,1
SPARQL,Datascience,0
WDL,Datascience,0
CWL,Datascience,0
Cromwell,Datascience,0
Docker,Datascience,0
BLAST,Datascience,0
Scikit-learn,Datascience,5
TensorFlow,Datascience,5
Keras,Datascience,1
Pandas,Datascience,5
Seaborn,Datascience,1
Dplyr,Datascience,0
Ggplot,Datascience,0
NextFlow,Datascience,0
Snakemake,Datascience,0
Lambda,Datascience,0
Batch,Datascience,0
Spot,Datascience,0
RDS,Datascience,1
IAM,Datascience,0
EFS,Datascience,0
EC2,Datascience,0
EBS,Datascience,0
CloudFormation,Datascience,1
R Shiny,Datascience,1
Scipy,Datascience,3
Statsmodels,Datascience,1
Tableau,Datascience,5
Databox,Datascience,1
Redshift,Datascience,1
Spark,Datascience,6
SAS,Datascience,1
Linux,Datascience,2
UNIX,Datascience,1
Scala,Datascience,3
NumPy,Datascience,1
Jupyter,Datascience,1
Hadoop,Datascience,3
Hive,Datascience,2
Cassandra,Datascience,2
Azure,Datascience,1
GCP,Datascience,1
Torch,Datascience,1
PyTorch,Datascience,2
JIRA,Datascience,1
C#,Datascience,1
Matlab,Datascience,2
NiFi,Datascience,1
Kafka,Datascience,1
Numpy,Datascience,3
Databricks,Datascience,1
Flink,Datascience,1
Solidity,Datascience,1
Microsoft Office,Datascience,1
Excel,Datascience,1
Powerpoint,Datascience,1
HDFS,Datascience,1
ElasticSearch,Datascience,1
Plotly,Datascience,1
SageMaker,Datascience,2
Springboot,Datascience,1
Angular,Datascience,1
Snowflake,Datascience,1
Airflow,Datascience,1
CircleCI,Datascience,1
Jenkins,Datascience,1
Pulumi,Datascience,1
Terraform,Datascience,1
Python,Bioinformatics,19
C,Bioinformatics,1
C++,Bioinformatics,2
R,Bioinformatics,17
Bash,Bioinformatics,2
*nix environments,Bioinformatics,1
Perl,Bioinformatics,3
SQL,Bioinformatics,3
Galaxy,Bioinformatics,1
Bioconductor,Bioinformatics,2
Ingenuity Pathways,Bioinformatics,1
SciPy,Bioinformatics,1
Mutect,Bioinformatics,1
Varscan2,Bioinformatics,1
BWA,Bioinformatics,3
GATK,Bioinformatics,3
SAMTools,Bioinformatics,1
Cosmic,Bioinformatics,1
TCGA,Bioinformatics,2
Git,Bioinformatics,3
SGE,Bioinformatics,1
Java,Bioinformatics,1
Novoalign,Bioinformatics,1
Tophat,Bioinformatics,1
Star,Bioinformatics,1
Bowtie,Bioinformatics,1
Bedtools,Bioinformatics,1
IGV,Bioinformatics,1
Samtools,Bioinformatics,3
GDC,Bioinformatics,1
AWS,Bioinformatics,2
MySQL,Bioinformatics,3
Postgres,Bioinformatics,1
Bowtie2,Bioinformatics,1
Cellranger,Bioinformatics,1
UCSC genome browser,Bioinformatics,1
HTML,Bioinformatics,1
SPARQL,Bioinformatics,1
WDL,Bioinformatics,2
CWL,Bioinformatics,1
Cromwell,Bioinformatics,2
Docker,Bioinformatics,2
BLAST,Bioinformatics,1
Scikit-learn,Bioinformatics,1
TensorFlow,Bioinformatics,1
Keras,Bioinformatics,1
Pandas,Bioinformatics,1
Seaborn,Bioinformatics,1
Dplyr,Bioinformatics,1
Ggplot,Bioinformatics,1
NextFlow,Bioinformatics,1
Snakemake,Bioinformatics,1
Lambda,Bioinformatics,1
Batch,Bioinformatics,1
Spot,Bioinformatics,1
RDS,Bioinformatics,1
IAM,Bioinformatics,1
EFS,Bioinformatics,1
EC2,Bioinformatics,1
EBS,Bioinformatics,1
CloudFormation,Bioinformatics,1
R Shiny,Bioinformatics,1
Scipy,Bioinformatics,0
Statsmodels,Bioinformatics,0
Tableau,Bioinformatics,0
Databox,Bioinformatics,0
Redshift,Bioinformatics,0
Spark,Bioinformatics,0
SAS,Bioinformatics,0
Linux,Bioinformatics,0
UNIX,Bioinformatics,0
Scala,Bioinformatics,0
NumPy,Bioinformatics,0
Jupyter,Bioinformatics,0
Hadoop,Bioinformatics,0
Hive,Bioinformatics,0
Cassandra,Bioinformatics,0
Azure,Bioinformatics,0
GCP,Bioinformatics,0
Torch,Bioinformatics,0
PyTorch,Bioinformatics,0
JIRA,Bioinformatics,0
C#,Bioinformatics,0
Matlab,Bioinformatics,0
NiFi,Bioinformatics,0
Kafka,Bioinformatics,0
Numpy,Bioinformatics,0
Databricks,Bioinformatics,0
Flink,Bioinformatics,0
Solidity,Bioinformatics,0
Microsoft Office,Bioinformatics,0
Excel,Bioinformatics,0
Powerpoint,Bioinformatics,0
HDFS,Bioinformatics,0
ElasticSearch,Bioinformatics,0
Plotly,Bioinformatics,0
SageMaker,Bioinformatics,0
Springboot,Bioinformatics,0
Angular,Bioinformatics,0
Snowflake,Bioinformatics,0
