language,counts
Python,20
Pandas,5
Scipy,3
Statsmodels,1
Scikit-learn,5
Tableau,5
Databox,1
SQL,14
Redshift,1
Spark,6
AWS,6
R,10
SAS,1
Linux,2
UNIX,1
Java,3
Scala,3
TensorFlow,5
NumPy,1
Jupyter,1
Hadoop,3
Hive,2
Cassandra,2
Azure,1
GCP,1
Torch,1
PyTorch,2
JIRA,1
C#,1
Matlab,2
NiFi,1
Git,1
Kafka,1
Numpy,3
R Shiny,1
Databricks,1
Flink,1
Solidity,1
Microsoft Office,1
Excel,1
Powerpoint,1
HDFS,1
ElasticSearch,1
Seaborn,1
Plotly,1
SageMaker,2
Springboot,1
Angular,1
Snowflake,1
RDS,1
Airflow,1
C++,1
HTML,1
Keras,1
CircleCI,1
Jenkins,1
Pulumi,1
Terraform,1
CloudFormation,1
